Symbol	Timeframes	DateTime	Open	High	Low	Close	BaseReturn	MidReturn	HigherReturn	BaseMidCorr	BaseHigherCorr	MidHigherCorr	ZScore	SignalType	CorrelationState	PostSignal1Bar(%)	PostSignal5Bars(%)	PostSignal10Bars(%)
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:30	2938.64000	2938.74000	2938.15000	2938.47000	-0.15000	0.00000	1.30000	0.204	-0.244	0.000	-0.322	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:35	2938.53000	2939.19000	2938.34000	2938.52000	0.05000	0.00000	1.30000	0.221	-0.238	0.000	-0.061	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:40	2938.52000	2938.55000	2937.74000	2937.85000	-0.67000	0.00000	1.30000	0.249	-0.236	0.000	-0.895	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:45	2937.86000	2938.45000	2937.73000	2938.41000	0.56000	0.00000	1.30000	0.299	-0.226	0.000	0.531	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:50	2938.42000	2938.56000	2937.59000	2938.13000	-0.28000	0.00000	1.30000	0.284	-0.224	0.000	-0.465	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 02:55	2938.15000	2938.88000	2938.06000	2938.56000	0.43000	0.00000	1.30000	0.250	-0.235	0.000	0.348	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:00	2938.66000	2941.55000	2938.48000	2941.12000	2.56000	0.00000	19.69000	0.231	-0.242	0.000	2.470	Divergence Warning	Diverging	-0.04	-0.08	-0.09
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:05	2941.16000	2941.16000	2939.63000	2939.81000	-1.31000	0.00000	19.69000	0.250	-0.230	0.000	-1.527	Divergence Warning	Diverging	0.04	-0.07	-0.07
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:10	2939.81000	2941.29000	2939.61000	2940.91000	1.10000	0.00000	19.69000	0.210	-0.263	0.000	0.899	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:15	2940.80000	2940.99000	2939.93000	2940.30000	-0.61000	0.00000	19.69000	0.160	-0.227	0.000	-0.804	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:20	2940.30000	2940.41000	2938.75000	2938.93000	-1.37000	0.00000	19.69000	-0.052	-0.215	0.000	-1.541	Divergence Warning	Diverging	-0.01	-0.07	0.08
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:25	2938.93000	2939.21000	2937.58000	2938.68000	-0.25000	0.00000	19.69000	-0.053	-0.219	0.000	-0.300	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:30	2938.68000	2939.26000	2937.65000	2937.66000	-1.02000	0.00000	19.69000	-0.105	-0.168	0.000	-1.076	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:35	2937.65000	2937.93000	2936.73000	2937.24000	-0.42000	0.00000	19.69000	-0.148	-0.151	0.000	-0.462	None	Diverging	0.00	0.00	0.00
